Code barre,Nom,Categorie 1,Coût,Prix de vente,Prix HT,Categorie 2,fournisseur/ID,Marque,Type d'article,Catégorie d'article/ID,Disponible dans le PdV,Taxes à la vente/ID,Catégorie du point de vente/ID
064992642181,ACANA CAT GRASSLANDS 1.8KG,ALIMENTATION,,28.95,23.9256,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992642341,ACANA CAT GRASSLANDS 340G,ALIMENTATION,,5.95,4.9174,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992642549,ACANA CAT GRASSLANDS 5.4KG,ALIMENTATION,,59.95,49.5455,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992641184,ACANA CAT PACIFICA 1.8KG,ALIMENTATION,,26.95,22.2727,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992641344,ACANA CAT PACIFICA 340G,ALIMENTATION,,5.95,4.9174,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992641542,ACANA CAT PACIFICA 5.4KG,ALIMENTATION,,54.95,45.4132,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992643348,ACANA CAT RANCHLANDS 340G,ALIMENTATION,,5.95,4.9174,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992640187,ACANA CAT WILD PRAIRIE 1.8KG,ALIMENTATION,,23.95,19.7934,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992640347,ACANA CAT WILD PRAIRIE 340G,ALIMENTATION,,5.95,4.9174,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992640545,ACANA CAT WILD PRAIRIE 5.4KG,ALIMENTATION,,47.95,39.6281,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chat_alimentation_croquettes
064992541118,ACANA DOG PACIFICA 11.4KG,ALIMENTATION,,84.95,70.2066,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992541200,ACANA DOG PACIFICA 2KG,ALIMENTATION,,24.95,20.6198,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992541354,ACANA DOG PACIFICA 340G,ALIMENTATION,,5.1,4.2149,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992500207,ACANA DOG PUPPY 2KG,ALIMENTATION,,19.5,16.1157,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992500351,ACANA DOG PUPPY 340G,ALIMENTATION,,3.95,3.2645,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992510237,ACANA DOG SENIOR 2KG,ALIMENTATION,,19.5,16.1157,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992510350,ACANA DOG SENIOR 340G,ALIMENTATION,,3.95,3.2645,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992540111,ACANA DOG WILD PRAIRIE 11.4KG,ALIMENTATION,,77.5,64.0496,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
064992540210,ACANA DOG WILD PRAIRIE 2KG,ALIMENTATION,,23.5,19.4215,SEC,sup_champions_pet_food,Acana,product,point_of_sale.product_category_pos,1,l10n_be.1_attn_VAT-OUT-21-L,cat_chien_alimentation_croquettes
