Code barre,name,categorie,Qte Stock,Px Achat ,Px Vente,Px Vente ,Categorie 2,Fournisseur,Marques
5411290129558,3 SOURIS JONC DE MER NATUREL,ACCESSOIRES,0,2.25,4.85,4.01,JOUETS,FLAMINGO,
5420065830261,51 HERRINGBONE CAT HOUSE BROWN BLACK,TEXTILES,1,24.97,49.95,41.28,PANIERS,51 DEGREES NORTH,48 Degrees North
5420065814179,51 HERRINGBONE CATHOUSE BEIGE BROWN,TEXTILES,0,24.97,49.95,41.28,PANIERS,51 DEGREES NORTH,49 Degrees North
5420065832739,51DN  BEACH BOXPILLOW PALMTREES 100X70,TEXTILES,1,,69.95,57.81,PANIERS,51 DEGREES NORTH,50 Degrees North
5420065831992,51DN - SWEATER - BOXPILLOW - LIVE LOVE BARK -,TEXTILES,-1,,44.95,37.15,PANIERS,51 DEGREES NORTH,51 Degrees North
5420065832005,51DN - SWEATER - BOXPILLOW - TO DO LIST - 115,TEXTILES,1,,69.95,57.81,PANIERS,51 DEGREES NORTH,51 Degrees North
5420065832074,51DN - SWEATER - CATHOUSE- NAP QUEEN - 40X40X,TEXTILES,0,,34.95,28.88,PANIERS,51 DEGREES NORTH,51 Degrees North
5420065832043,51DN - SWEATER - SOFTBED - LIVE LOVE BARK - L,TEXTILES,1,,79.95,66.07,PANIERS,51 DEGREES NORTH,51 Degrees North
5420065832036,51DN - SWEATER - SOFTBED - LIVE LOVE BARK - M,TEXTILES,-2,,59.95,49.55,PANIERS,51 DEGREES NORTH,51 Degrees North
5420065809793,51DN CABLE SWEATER CLASSIC BLACK T16,TEXTILES,1,6.47,17.95,14.83,MANTEAUX,51 DEGREES NORTH,52 Degrees North
5420065809809,51DN CABLE SWEATER CLASSIC BLACK T20,TEXTILES,1,6.97,18.95,15.66,MANTEAUX,51 DEGREES NORTH,53 Degrees North
5420065809816,51DN CABLE SWEATER CLASSIC BLACK T24,TEXTILES,1,7.47,19.95,16.49,MANTEAUX,51 DEGREES NORTH,54 Degrees North
5420065809823,51DN CABLE SWEATER CLASSIC BLACK T28,TEXTILES,0,7.97,20.95,17.31,MANTEAUX,51 DEGREES NORTH,55 Degrees North
5420065809830,51DN CABLE SWEATER CLASSIC BLACK T32,TEXTILES,0,8.47,21.95,18.14,MANTEAUX,51 DEGREES NORTH,56 Degrees North
