id,name,company_type
SUP_FLAMINGO,FLAMINGO,company
SUP_51DEGREESNORTH,51 DEGREES NORTH,company
SUP_CHAMPIONSPETFOOD,CHAMPIONS PET FOOD,company
SUP_HOLLAND_ANIMAL,HOLLAND ANIMAL ,company
SUP_HUNTER,HUNTER,company
SUP_SOLAL_SIMPLY,SOLAL SIMPLY ,company
SUP_NAGELS,NAGELS,company
SUP_VADIGRAN,VADIGRAN,company
SUP_PETREBELS,PETREBELS,company
SUP_PETS_CONCEPTS,PETS CONCEPTS,company
SUP_PET_SOLUTIONS,PET SOLUTION,company
SUP_ALSOLAL_SIMPLY,ALSOLAL SIMPLY ,company
SUP_DEGOMEAT,DEGOMEAT,company
SUP_OLLHOLLAND,OLLHOLLAND ,company
SUP_MIA_CARA,MIA CARA,company
SUP_NATACHIEN,NATACHIEN,company
SUP_MADE_IN_PET,MADE IN PET,company
SUP_WEATHERBEETA,WEATHERBEETA,company
SUP_DUCK_FOOD,DUCK FOOD,company
SUP_EDGARD_AND_COOPER,EDGARD AND COOPER,company
SUP_FERIBIELLA,FERIBIELLA,company
SUP_NML_HEALTH,NML HEALTH,company
SUP_MOLLY_AND_STITCH,MOLLY AND STITCH,company
SUP_CLOUD_7,CLOUD 7,company
SUP_PUPPY_GALLERY,PUPPY GALLERY,company
SUP_SOOPA,SOOPA,company
SUP_SWOOFLES,SWOOFLES,company
SUP_WILD_WASH,WILD WASH,company
